GENE,GENEID,GENEFULLNAME,MGOX,MGOY,MGOZ,GA,CLUSTER
Lrp6,16974,low density lipoprotein receptor-related protein 6,0.1403,0.1157,0.9833,0.6558,4
Gatad2a,234366,GATA zinc finger domain containing 2A,0.2132,0.2493,0.9447,0.6517,4
Tcf21,21412,transcription factor 21,0.1035,0.0325,0.9941,0.6444,4
Dll1,13388,delta-like 1 (Drosophila),0.1270,0.1714,0.9770,0.6411,4
Atoh1,11921,atonal homolog 1 (Drosophila),0.3500,0.5408,0.7648,0.6228,4
Tfap2d,226896,transcription factor AP-2 delta,0.4522,0.4301,0.7814,0.6216,4
Sox4,20677,SRY-box containing gene 4,0.4849,0.3940,0.7808,0.6182,4
Col5a1,12831,collagen type V alpha 1,0.5689,0.4085,0.7138,0.6157,4
Notch1,18128,notch 1,0.0144,0.1076,0.9941,0.6148,4
Lgals1,16852,lectin galactose binding soluble 1,0.5335,0.4042,0.7429,0.6142,4
Irx1,16371,Iroquois related homeobox 1 (Drosophila),0.4515,0.4770,0.7541,0.6092,4
Tfdp1,21781,transcription factor Dp 1,0.3687,0.3284,0.8696,0.6052,4
Dlx6,13396,distal-less homeobox 6,0.9159,0.3749,0.1437,0.6032,4
Foxp4,74123,forkhead box P4,0.3544,0.4115,0.8397,0.6013,4
Col18a1,12822,collagen type XVIII alpha 1,0.3070,0.2548,0.9169,0.5978,4
Dach1,13134,dachshund 1 (Drosophila),0.1398,0.2059,0.9685,0.5956,4
Plxnb1,235611,plexin B1,0.3955,0.4658,0.7916,0.5895,4
Elf3,13710,E74-like factor 3,0.3369,0.2977,0.8932,0.5887,4
Gpr161,240888,G protein-coupled receptor 161,0.1736,0.0404,0.9840,0.5879,4
Pdgfb,18591,platelet derived growth factor B polypeptide,0.3483,0.3578,0.8664,0.5860,4
Pomc,18976,pro-opiomelanocortin-alpha,0.3750,0.2021,0.9047,0.5826,4
Sox11,20666,SRY-box containing gene 11,0.3837,0.3260,0.8640,0.5752,4
Igf2,16002,insulin-like growth factor 2,0.3012,0.2592,0.9177,0.5740,4
Msc,17681,musculin,0.4316,0.3113,0.8467,0.5693,4
Fat1,14107,FAT tumor suppressor homolog 1 (Drosophila),0.4069,0.2970,0.8638,0.5655,4
Daam2,76441,dishevelled associated activator of morphogenesis 2,0.2996,0.2288,0.9262,0.5639,4
Gli1,14632,GLI-Kruppel family member GLI1,0.3986,0.3245,0.8578,0.5587,4
Lhx4,16872,LIM homeobox protein 4,0.7731,0.2513,0.5824,0.5583,4
Wnt3a,22416,wingless-related MMTV integration site 3A,0.5558,0.5122,0.6548,0.5559,4
Wnt9a,216795,wingless-type MMTV integration site 9A,0.0164,0.0865,0.9961,0.5479,4
Sox2,20674,SRY-box containing gene 2,0.0718,0.1302,0.9889,0.5471,4
Lrp5,16973,low density lipoprotein receptor-related protein 5,0.4545,0.4109,0.7903,0.5458,4
Peg10,170676,paternally expressed 10,0.2760,0.1762,0.9449,0.5402,4
Spic,20728,Spi-C transcription factor (Spi-1/PU.1 related),0.3952,0.3792,0.8367,0.5333,4
Otx2,18424,orthodenticle homolog 2 (Drosophila),0.0427,0.1376,0.9896,0.5313,4
Thbs3,21827,thrombospondin 3,0.4461,0.4226,0.7889,0.5313,4
Wnt2b,22414,wingless related MMTV integration site 2b,0.0060,0.1536,0.9881,0.5311,4
LOC545810,545810,-,0.3271,0.3802,0.8652,0.5278,4
Loxl2,94352,lysyl oxidase-like 2,0.2834,0.2505,0.9257,0.5236,4
Acvr2b,11481,activin receptor IIB,0.4386,0.3656,0.8210,0.5208,4
Grik3,14807,glutamate receptor ionotropic kainate 3,0.0521,0.0163,0.9985,0.5169,4
Foxf2,14238,forkhead box F2,0.4151,0.3339,0.8463,0.5149,4
Gpc3,14734,glypican 3,0.2126,0.1506,0.9655,0.5138,4
Rspo4,228770,R-spondin family member 4,0.1931,0.3685,0.9094,0.5086,4
Nnat,18111,neuronatin,0.4356,0.3278,0.8384,0.5075,4
Mest,17294,mesoderm specific transcript,0.3558,0.3228,0.8770,0.5071,4
Cd24a,12484,CD24a antigen,0.5692,0.4519,0.6869,0.5063,4
Zic1,22771,zinc finger protein of the cerebellum 1,0.0197,0.0120,0.9997,0.5042,4
Eomes,13813,eomesodermin homolog (Xenopus laevis),0.3018,0.2703,0.9143,0.5038,4
Dcn,13179,decorin,0.0647,0.0850,0.9943,0.5021,4
Zic5,65100,zinc finger protein of the cerebellum 5,0.3868,0.2382,0.8909,0.5010,4
Igf1r,16001,insulin-like growth factor I receptor,0.2271,0.2535,0.9403,0.5006,4
Bcl11a,14025,B cell CLL/lymphoma 11A (zinc finger protein),0.2372,0.3317,0.9131,0.4990,4
Nrp1,18186,neuropilin 1,0.1023,0.1663,0.9808,0.4976,4
Mxd3,17121,Max dimerization protein 3,0.1119,0.0837,0.9902,0.4937,4
Sox9,20682,SRY-box containing gene 9,0.0028,0.4731,0.8810,0.4849,4
Il6st,16195,interleukin 6 signal transducer,0.2093,0.4581,0.8639,0.4837,4
Ephb1,270190,Eph receptor B1,0.1568,0.1522,0.9758,0.4834,4
Arvcf,11877,armadillo repeat gene deleted in velo-cardio-facial syndrome,0.0868,0.1189,0.9891,0.4812,4
Gabrd,14403,gamma-aminobutyric acid (GABA) A receptor subunit delta,0.0127,0.1104,0.9938,0.4745,4
Neurog1,18014,neurogenin 1,0.2146,0.0966,0.9719,0.4740,4
Slc18a2,214084,solute carrier family 18 (vesicular monoamine) member 2,0.2583,0.2382,0.9362,0.4647,4
Cdon,57810,cell adhesion molecule-related/down-regulated by oncogenes,0.2081,0.3520,0.9126,0.4601,4
Plagl1,22634,pleiomorphic adenoma gene-like 1,0.3574,0.4506,0.8181,0.4576,4
Dab1,13131,disabled 1,0.2106,0.3282,0.9209,0.4550,4
Efnb1,13641,ephrin B1,0.2260,0.2904,0.9298,0.4544,4
Dnmt1,13433,DNA methyltransferase (cytosine-5) 1,0.2688,0.2101,0.9400,0.4523,4
Sim2,20465,single-minded homolog 2 (Drosophila),0.2765,0.2851,0.9177,0.4504,4
Nr2f1,13865,nuclear receptor subfamily 2 group F member 1,0.0244,0.2797,0.9598,0.4493,4
Col11a2,12815,collagen type XI alpha 2,0.2918,0.1607,0.9429,0.4410,4
Itln1,16429,intelectin 1 (galactofuranose binding),0.2591,0.1575,0.9529,0.4391,4
Msx2,17702,homeobox msh-like 2,0.1218,0.2957,0.9475,0.4336,4
Erbb2,13866,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2 neuro/glioblastoma derived oncogene homolog (avian),0.0515,0.1235,0.9910,0.4332,4
Fzd8,14370,frizzled homolog 8 (Drosophila),0.0406,0.1483,0.9881,0.4313,4
Usf1,22278,upstream transcription factor 1,0.4127,0.4319,0.8019,0.4310,4
Oprd1,18386,opioid receptor delta 1,0.4233,0.5035,0.7532,0.4235,4
Hmgn2,15331,high mobility group nucleosomal binding domain 2,0.2078,0.2422,0.9477,0.4206,4
Dmrt3,240590,doublesex and mab-3 related transcription factor 3,0.3392,0.3268,0.8821,0.4195,4
Sema6c,20360,sema domain transmembrane domain (TM) and cytoplasmic domain (semaphorin) 6C,0.2422,0.5348,0.8095,0.4172,4
Zfhx3,11906,zinc finger homeobox 3,0.2174,0.3876,0.8958,0.4169,4
Chl1,12661,cell adhesion molecule with homology to L1CAM,0.3151,0.2141,0.9246,0.4158,4
Mafb,16658,v-maf musculoaponeurotic fibrosarcoma oncogene family protein B (avian),0.6912,0.2104,0.6913,0.4140,4
Maz,17188,MYC-associated zinc finger protein (purine-binding transcription factor),0.3285,0.2575,0.9087,0.4064,4
Rspo2,239405,R-spondin 2 homolog (Xenopus laevis),0.3440,0.4404,0.8293,0.4048,4
Fgf3,14174,fibroblast growth factor 3,0.0603,0.4224,0.9044,0.3935,4
Nrgn,64011,neurogranin,0.0682,0.2935,0.9535,0.3912,4
Meis2,17536,Meis homeobox 2,0.2629,0.4011,0.8775,0.3864,4
L1cam,16728,L1 cell adhesion molecule,0.4499,0.3142,0.8360,0.3706,4
Dbi,13167,diazepam binding inhibitor,0.2010,0.1939,0.9602,0.3701,4
Ntsr2,18217,neurotensin receptor 2,0.0229,0.0316,0.9992,0.3664,4
Ebf3,13593,early B cell factor 3,0.6243,0.7199,0.3032,0.3635,4
Msx1,17701,homeobox msh-like 1,0.2249,0.0062,0.9744,0.3595,4
Shbg,20415,sex hormone binding globulin,0.0718,0.0019,0.9974,0.2948,4
Myt1,17932,myelin transcription factor 1,0.4577,0.3446,0.8196,0.2866,4
Plxna3,18846,plexin A3,0.1781,0.4276,0.8862,0.2738,4
Pou4f3,18998,POU domain class 4 transcription factor 3,0.0087,0.0941,0.9955,0.2732,4
Hmgn1,15312,high mobility group nucleosomal binding domain 1,0.7379,0.2781,0.6150,0.2682,4
Ddx5,13207,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,0.1070,0.2378,0.9654,0.1779,4
Col4a5,12830,collagen type IV alpha 5,0.0037,0.7496,0.6619,0.1325,4
 ,, ,,,,,
Helt,234219,helt bHLH transcription factor,0.4407,0.4395,0.7827,0.7614,5
Pspn,19197,persephin,0.9071,0.3661,0.2078,0.7596,5
Tcam1,75870,testicular cell adhesion molecule 1,0.6445,0.5897,0.4866,0.7461,5
Etv3,27049,ets variant gene 3,0.7861,0.6062,0.1203,0.7180,5
Igf1,16000,insulin-like growth factor 1,0.7943,0.4026,0.4549,0.7137,5
Akna,100182,AT-hook transcription factor,0.2580,0.2608,0.9303,0.7090,5
Igfbp3,16009,insulin-like growth factor binding protein 3,0.6516,0.7495,0.1170,0.6757,5
Tcf7l1,21415,transcription factor 7 like 1 (T cell specific HMG box),0.4669,0.3586,0.8083,0.6740,5
Grin3b,170483,glutamate receptor ionotropic NMDA3B,0.7075,0.6192,0.3406,0.6719,5
Hgfac,54426,hepatocyte growth factor activator,0.8606,0.3769,0.3424,0.6647,5
Sfrp4,20379,secreted frizzled-related protein 4,0.6970,0.6805,0.2262,0.6615,5
Tfam,21780,transcription factor A mitochondrial,0.7929,0.4309,0.4308,0.6482,5
Wnt11,22411,wingless-related MMTV integration site 11,0.3631,0.4038,0.8397,0.6405,5
Esr1,13982,estrogen receptor 1 (alpha),0.8471,0.0573,0.5284,0.6382,5
Maml1,103806,mastermind like 1 (Drosophila),0.6020,0.5591,0.5701,0.6304,5
Bmp2,12156,bone morphogenetic protein 2,0.6347,0.7171,0.2880,0.6267,5
Tcf4,21413,transcription factor 4,0.0541,0.1702,0.9839,0.6182,5
Smo,319757,smoothened homolog (Drosophila),0.5162,0.4425,0.7333,0.6146,5
Fzd1,14362,frizzled homolog 1 (Drosophila),0.5763,0.4874,0.6560,0.6127,5
Prrx1,18933,paired related homeobox 1,0.2490,0.3154,0.9157,0.5970,5
Hoxb9,15417,homeobox B9,0.0411,0.0276,0.9988,0.5968,5
Fn1,14268,fibronectin 1,0.4946,0.4190,0.7615,0.5937,5
Frat1,14296,frequently rearranged in advanced T cell lymphomas,0.5668,0.5062,0.6501,0.5936,5
Nfia,18027,nuclear factor I/A,0.3120,0.3317,0.8903,0.5928,5
Fzd5,14367,frizzled homolog 5 (Drosophila),0.4766,0.4241,0.7700,0.5895,5
Plxnd1,67784,plexin D1,0.4428,0.4129,0.7959,0.5890,5
Mst1r,19882,macrophage stimulating 1 receptor (c-met-related tyrosine kinase),0.8525,0.2416,0.4636,0.5863,5
Anxa2,12306,annexin A2,0.1125,0.1536,0.9817,0.5850,5
Cphx,105594,cytoplasmic polyadenylated homeobox,0.4960,0.3002,0.8148,0.5845,5
Nfya,18044,nuclear transcription factor-Y alpha,0.7773,0.4993,0.3827,0.5825,5
Zic4,22774,zinc finger protein of the cerebellum 4,0.4384,0.0131,0.8987,0.5807,5
E2f5,13559,E2F transcription factor 5,0.6686,0.5057,0.5452,0.5756,5
Cyp19a1,13075,cytochrome P450 family 19 subfamily a polypeptide 1,0.3304,0.2939,0.8969,0.5706,5
Cdh17,12557,cadherin 17,0.4359,0.6042,0.6670,0.5700,5
Zhx2,387609,zinc fingers and homeoboxes 2,0.8930,0.3397,0.2953,0.5696,5
Dlx2,13392,distal-less homeobox 2,0.2722,0.4176,0.8669,0.5693,5
Drd4,13491,dopamine receptor D4,0.1323,0.2780,0.9514,0.5677,5
Pik3r1,18708,phosphatidylinositol 3-kinase regulatory subunit polypeptide 1 (p85 alpha),0.1832,0.1398,0.9731,0.5642,5
Isoc1,66307,isochorismatase domain containing 1,0.1907,0.2129,0.9583,0.5628,5
Npas3,27386,neuronal PAS domain protein 3,0.3566,0.2774,0.8921,0.5619,5
Rprm,67874,reprimo TP53 dependent G2 arrest mediator candidate,0.1298,0.9645,0.2301,0.5582,5
Tgfb1,21803,transforming growth factor beta 1,0.3980,0.3637,0.8422,0.5522,5
Ctsr,56835,cathepsin R,0.2743,0.2674,0.9237,0.5490,5
Egfr,13649,epidermal growth factor receptor,0.2147,0.3724,0.9029,0.5417,5
Flt3,14255,FMS-like tyrosine kinase 3,0.3170,0.1464,0.9370,0.5379,5
Frem2,242022,Fras1 related extracellular matrix protein 2,0.1959,0.4297,0.8814,0.5377,5
Runx1t1,12395,runt-related transcription factor 1; translocated to 1 (cyclin D-related),0.4257,0.6021,0.6754,0.5326,5
Tle4,21888,transducin-like enhancer of split 4 homolog of Drosophila E(spl),0.0545,0.1937,0.9795,0.5250,5
Hoxa6,15403,homeobox A6,0.6565,0.0490,0.7528,0.5233,5
Atf1,11908,activating transcription factor 1,0.4764,0.3903,0.7879,0.5127,5
Barx1,12022,BarH-like homeobox 1,0.1817,0.2202,0.9584,0.5118,5
Xpnpep2,170745,X-prolyl aminopeptidase (aminopeptidase P) 2 membrane-bound,0.6129,0.3628,0.7019,0.5092,5
Zic3,22773,zinc finger protein of the cerebellum 3,0.1129,0.3400,0.9336,0.5039,5
Hes1,15205,hairy and enhancer of split 1 (Drosophila),0.2690,0.1473,0.9518,0.5037,5
Gdf11,14561,growth differentiation factor 11,0.3481,0.4580,0.8179,0.5035,5
Nrg1,211323,neuregulin 1,0.7388,0.1931,0.6457,0.5026,5
Epha2,13836,Eph receptor A2,0.8253,0.2716,0.4950,0.5021,5
Itgav,16410,integrin alpha V,0.0265,0.1944,0.9806,0.4986,5
Cenpb,12616,centromere protein B,0.4415,0.5393,0.7171,0.4971,5
Rln1,19773,relaxin 1,0.1553,0.3095,0.9381,0.4909,5
Rspo3,72780,R-spondin 3 homolog (Xenopus laevis),0.2378,0.5240,0.8178,0.4877,5
Fgfrl1,116701,fibroblast growth factor receptor-like 1,0.4935,0.5782,0.6497,0.4873,5
Col11a1,12814,collagen type XI alpha 1,0.3760,0.3657,0.8514,0.4801,5
Itlnb,493583,intelectin b,0.0101,0.0744,0.9972,0.4561,5
Gdf6,242316,growth differentiation factor 6,0.1169,0.1888,0.9750,0.4550,5
Akt1,11651,thymoma viral proto-oncogene 1,0.4077,0.4172,0.8122,0.4540,5
Gfra3,14587,glial cell line derived neurotrophic factor family receptor alpha 3,0.5412,0.1118,0.8334,0.4342,5
Ttr,22139,transthyretin,0.0888,0.0730,0.9934,0.4321,5
Ddc,13195,dopa decarboxylase,0.5371,0.1916,0.8215,0.4303,5
Slc18a1,110877,solute carrier family 18 (vesicular monoamine) member 1,0.3045,0.3579,0.8827,0.4287,5
Emx2,13797,empty spiracles homolog 2 (Drosophila),0.0704,0.0453,0.9965,0.4221,5
Gdf5,14563,growth differentiation factor 5,0.2487,0.1964,0.9484,0.4037,5
Cyr61,16007,cysteine rich protein 61,0.1854,0.5542,0.8115,0.3981,5
Lefty2,320202,left-right determination factor 2,0.5219,0.2045,0.8282,0.3912,5
Angptl3,30924,angiopoietin-like 3,0.3608,0.0723,0.9299,0.3755,5
Fgf10,14165,fibroblast growth factor 10,0.4055,0.4400,0.8013,0.3700,5
Kitl,17311,kit ligand,0.5239,0.2422,0.8166,0.3672,5
Angpt4,11602,angiopoietin 4,0.5144,0.2507,0.8201,0.3668,5
Kctd12,239217,potassium channel tetramerisation domain containing 12,0.3156,0.4934,0.8106,0.3644,5
Grin2d,14814,glutamate receptor ionotropic NMDA2D (epsilon 4),0.4297,0.2704,0.8615,0.3624,5
Stat5a,20850,signal transducer and activator of transcription 5A,0.4046,0.2582,0.8773,0.3577,5
Pax7,18509,paired box gene 7,0.5901,0.0572,0.8053,0.3539,5
Dll3,13389,delta-like 3 (Drosophila),0.4997,0.2777,0.8205,0.3519,5
Pde11a,241489,phosphodiesterase 11A,0.3357,0.5048,0.7953,0.3512,5
Daam1,208846,dishevelled associated activator of morphogenesis 1,0.1409,0.6631,0.7351,0.3398,5
Nodal,18119,nodal,0.3497,0.2038,0.9144,0.3236,5
Mc4r,17202,melanocortin 4 receptor,0.4230,0.2184,0.8794,0.3162,5
Nfatc1,18018,nuclear factor of activated T cells cytoplasmic calcineurin dependent 1,0.3931,0.1988,0.8977,0.3162,5
Oprm1,18390,opioid receptor mu 1,0.3503,0.1495,0.9246,0.3075,5
Nrg4,83961,neuregulin 4,0.2168,0.0679,0.9739,0.3047,5
Epha1,13835,Eph receptor A1,0.3530,0.1902,0.9161,0.3034,5
Vav2,22325,vav 2 oncogene,0.3484,0.1644,0.9228,0.3019,5
Col16a1,107581,collagen type XVI alpha 1,0.0772,0.2674,0.9605,0.3005,5
Etv4,18612,ets variant gene 4 (E1A enhancer binding protein E1AF),0.2464,0.3736,0.8943,0.2989,5
Kremen1,84035,kringle containing transmembrane protein 1,0.3364,0.1736,0.9256,0.2980,5
Polr2m,28015,polymerase (RNA) II (DNA directed) polypeptide M,0.0762,0.1588,0.9844,0.2972,5
Fgf6,14177,fibroblast growth factor 6,0.3066,0.2031,0.9299,0.2938,5
Fgfbp1,14181,fibroblast growth factor binding protein 1,0.5472,0.4704,0.6923,0.2915,5
Ngf,18049,nerve growth factor,0.3834,0.1437,0.9123,0.2898,5
Cpne2,234577,copine II,0.3663,0.1696,0.9149,0.2893,5
Hcrtr1,230777,hypocretin (orexin) receptor 1,0.3608,0.2669,0.8936,0.2880,5
Bmp10,12154,bone morphogenetic protein 10,0.2925,0.0260,0.9559,0.2825,5
Smad9,55994,MAD homolog 9 (Drosophila),0.5350,0.0518,0.8433,0.2822,5
Wnt9b,22412,wingless-type MMTV integration site 9B,0.3564,0.3595,0.8624,0.2811,5
Fmo1,14261,flavin containing monooxygenase 1,0.1984,0.1836,0.9628,0.2699,5
Zbtb33,56805,zinc finger and BTB domain containing 33,0.3174,0.1697,0.9330,0.2625,5
Lmx1a,110648,LIM homeobox transcription factor 1 alpha,0.5059,0.2622,0.8217,0.2544,5
Foxn4,116810,forkhead box N4,0.4443,0.0821,0.8921,0.2542,5
Lman1l,235416,lectin mannose-binding 1 like,0.4993,0.1028,0.8603,0.2525,5
Pappa2,23850,pappalysin 2,0.3216,0.0614,0.9449,0.2470,5
Artn,11876,artemin,0.2278,0.0590,0.9719,0.2463,5
Hmx3,15373,H6 homeobox 3,0.3154,0.0572,0.9472,0.2359,5
Cdh3,12560,cadherin 3,0.0415,0.5170,0.8550,0.2326,5
Cntn2,21367,contactin 2,0.0190,0.0786,0.9967,0.2226,5
Tox,252838,thymocyte selection-associated high mobility group box,0.0663,0.2664,0.9616,0.2205,5
Celsr1,12614,cadherin EGF LAG seven-pass G-type receptor 1 (flamingo homolog Drosophila),0.1900,0.2267,0.9553,0.2095,5
Gcm2,107889,glial cells missing homolog 2 (Drosophila),0.0692,0.2052,0.9763,0.2041,5
Nr4a3,18124,nuclear receptor subfamily 4 group A member 3,0.2329,0.4296,0.8725,0.1821,5
Rcor2,104383,REST corepressor 2,0.0986,0.9042,0.4157,0.1806,5
Clock,12753,circadian locomotor output cycles kaput,0.1372,0.4412,0.8868,0.1636,5
Ntf5,78405,neurotrophin 5,0.5870,0.6764,0.4449,0.1580,5
Dvl2,13543,dishevelled 2 dsh homolog (Drosophila),0.2162,0.1221,0.9687,0.1150,5
 ,, ,,,,,
Aldh1a3,56847,aldehyde dehydrogenase family 1 subfamily A3,0.4164,0.3454,0.8410,0.8451,6
Itga4,16401,integrin alpha 4,0.3239,0.2582,0.9102,0.8341,6
Nobox,18291,NOBOX oogenesis homeobox,0.4508,0.3665,0.8139,0.8299,6
Mycl1,16918,v-myc myelocytomatosis viral oncogene homolog 1 lung carcinoma derived (avian),0.3774,0.3614,0.8526,0.8236,6
Ptf1a,19213,pancreas specific transcription factor 1a,0.3196,0.2922,0.9014,0.7973,6
Acvrl1,11482,activin A receptor type II-like 1,0.3002,0.2361,0.9242,0.7813,6
Ppard,19015,peroxisome proliferator activator receptor delta,0.7283,0.6695,0.1463,0.7768,6
Oxtr,18430,oxytocin receptor,0.4366,0.3269,0.8382,0.7684,6
Lamb1,16777,laminin B1,0.3878,0.3660,0.8460,0.7678,6
Dach2,93837,dachshund 2 (Drosophila),0.5447,0.4390,0.7145,0.7656,6
Isl2,104360,insulin related protein 2 (islet 2),0.3894,0.2953,0.8725,0.7635,6
Mixl1,27217,Mix1 homeobox-like 1 (Xenopus laevis),0.7452,0.6297,0.2196,0.7472,6
Gtf2e2,68153,general transcription factor II E polypeptide 2 (beta subunit),0.7525,0.5808,0.3107,0.7428,6
Rcn1,19672,reticulocalbin 1,0.4172,0.2770,0.8656,0.7307,6
Plcd1,18799,phospholipase C delta 1,0.3435,0.3310,0.8789,0.7266,6
Mael,98558,maelstrom homolog (Drosophila),0.2523,0.2079,0.9450,0.7138,6
Dnmt3l,54427,DNA (cytosine-5-)-methyltransferase 3-like,0.3521,0.3334,0.8745,0.7136,6
Tfdp2,211586,transcription factor Dp 2,0.6251,0.5793,0.5232,0.6812,6
mCG146432,627415,AB mCG146432,0.5650,0.3398,0.7519,0.6790,6
Postn,50706,periostin osteoblast specific factor,0.3911,0.3002,0.8700,0.6782,6
Pros1,19128,protein S (alpha),0.2019,0.1268,0.9712,0.6756,6
Tead3,21678,TEA domain family member 3,0.5013,0.3696,0.7824,0.6738,6
Slc6a13,14412,solute carrier family 6 (neurotransmitter transporter GABA) member 13,0.5002,0.3269,0.8018,0.6737,6
Ctnnd1,12388,catenin (cadherin associated protein) delta 1,0.3652,0.3508,0.8623,0.6702,6
Cyp26b1,232174,cytochrome P450 family 26 subfamily b polypeptide 1,0.4350,0.2251,0.8718,0.6557,6
Col23a1,237759,collagen type XXIII alpha 1,0.1647,0.2125,0.9632,0.6445,6
Slc40a1,53945,solute carrier family 40 (iron-regulated transporter) member 1,0.5076,0.4405,0.7405,0.6303,6
Ednrb,13618,endothelin receptor type B,0.5499,0.4026,0.7318,0.6302,6
Nr6a1,14536,nuclear receptor subfamily 6 group A member 1,0.3116,0.3397,0.8874,0.6211,6
Robo3,19649,roundabout homolog 3 (Drosophila),0.2697,0.4021,0.8750,0.6144,6
Pdgfc,54635,platelet-derived growth factor C polypeptide,0.1605,0.2412,0.9571,0.6063,6
Lama1,16772,laminin alpha 1,0.5442,0.4335,0.7183,0.6059,6
Wnt5b,22419,wingless-related MMTV integration site 5B,0.5018,0.3707,0.7815,0.6044,6
Gabrp,216643,gamma-aminobutyric acid (GABA) A receptor pi,0.4360,0.4025,0.8050,0.6007,6
Barhl1,54422,BarH-like 1 (Drosophila),0.5261,0.2373,0.8167,0.6005,6
Id1,15901,inhibitor of DNA binding 1,0.4796,0.3957,0.7832,0.6002,6
Adam17,11491,a disintegrin and metallopeptidase domain 17,0.4402,0.3531,0.8256,0.5969,6
Gata2,14461,GATA binding protein 2,0.5687,0.4128,0.7115,0.5967,6
Acvr1c,269275,activin A receptor type IC,0.4165,0.3306,0.8469,0.5953,6
Tlx1,21908,T cell leukemia homeobox 1,0.5704,0.4278,0.7012,0.5948,6
Igfbp4,16010,insulin-like growth factor binding protein 4,0.3475,0.3832,0.8558,0.5890,6
Pdx1,18609,pancreatic and duodenal homeobox 1,0.6110,0.4725,0.6352,0.5803,6
Mybpc1,109272,myosin binding protein C slow-type,0.5187,0.4426,0.7314,0.5743,6
Mga,29808,MAX gene associated,0.2445,0.8024,0.5444,0.5707,6
Nkx3-1,18095,NK-3 transcription factor locus 1 (Drosophila),0.4008,0.3973,0.8256,0.5700,6
Acvr2a,11480,activin receptor IIA,0.5520,0.4276,0.7158,0.5595,6
Patz1,56218,POZ (BTB) and AT hook containing zinc finger 1,0.5255,0.4583,0.7168,0.5435,6
Nanog,71950,Nanog homeobox,0.4492,0.3930,0.8024,0.5390,6
Elk4,13714,ELK4 member of ETS oncogene family,0.0712,0.1059,0.9918,0.5319,6
Crebbp,12914,CREB binding protein,0.4005,0.4107,0.8191,0.5269,6
Phox2b,18935,paired-like homeobox 2b,0.0879,0.0081,0.9961,0.5258,6
Tgfbr3,21814,transforming growth factor beta receptor III,0.9609,0.0357,0.2745,0.5099,6
Dsg1c,211924,desmoglein 1 gamma,0.4385,0.4264,0.7911,0.4948,6
Hmx1,15371,H6 homeobox 1,0.3738,0.4202,0.8269,0.4769,6
Id3,15903,inhibitor of DNA binding 3,0.4488,0.5400,0.7120,0.4707,6
Tfap2a,21418,transcription factor AP-2 alpha,0.7093,0.4051,0.5769,0.4706,6
Pcdha7,12939,protocadherin alpha 7,0.0896,0.1199,0.9887,0.4619,6
Comt,12846,catechol-O-methyltransferase,0.0576,0.2502,0.9665,0.4489,6
Mtf2,17765,metal response element binding transcription factor 2,0.4034,0.2994,0.8647,0.4266,6
Onecut3,246086,one cut domain family member 3,0.3477,0.4080,0.8442,0.4043,6
Bhlhe22,59058,basic helix-loop-helix family member e22,0.2159,0.3471,0.9126,0.3869,6
Abt1,30946,activator of basal transcription 1,0.5725,0.2031,0.7944,0.3688,6
Dlg4,13385,discs large homolog 4 (Drosophila),0.0531,0.2857,0.9569,0.3483,6
Creb3l2,208647,cAMP responsive element binding protein 3-like 2,0.0532,0.0379,0.9979,0.3477,6
Lmtk3,381983,lemur tyrosine kinase 3,0.5069,0.3975,0.7649,0.3245,6
Dsg1b,225256,desmoglein 1 beta,0.5185,0.4108,0.7500,0.3033,6
Nrcam,319504,neuron-glia-CAM-related cell adhesion molecule,0.3250,0.2720,0.9058,0.2156,6
 ,, ,,,,,
Camk2a,12322,calcium/calmodulin-dependent protein kinase II alpha,0.1016,0.0300,0.9944,0.9185,7
Icam2,15896,intercellular adhesion molecule 2,0.9935,0.0984,0.0573,0.9139,7
Avpr1a,54140,arginine vasopressin receptor 1A,0.4067,0.3609,0.8392,0.8550,7
Creb3l3,208677,cAMP responsive element binding protein 3-like 3,0.4657,0.3590,0.8089,0.8358,7
Nfyb,18045,nuclear transcription factor-Y beta,0.4254,0.3147,0.8485,0.8244,7
Bach1,12013,BTB and CNC homology 1,0.4961,0.4031,0.7690,0.8004,7
Myod1,17927,myogenic differentiation 1,0.4397,0.3831,0.8124,0.7971,7
Sertad2,58172,SERTA domain containing 2,0.3430,0.2782,0.8972,0.7870,7
Tfe3,209446,transcription factor E3,0.3961,0.4905,0.7762,0.7653,7
Wnt10a,22409,wingless related MMTV integration site 10a,0.3905,0.2534,0.8851,0.7647,7
Cdx2,12591,caudal type homeobox 2,0.4227,0.3002,0.8551,0.7529,7
Foxh1,14106,forkhead box H1,0.4467,0.3174,0.8365,0.7461,7
Tfeb,21425,transcription factor EB,0.5577,0.4480,0.6987,0.7439,7
Isx,71597,intestine specific homeobox,0.5183,0.4016,0.7551,0.7404,7
Nmral1,67824,NmrA-like family domain containing 1,0.4536,0.3477,0.8206,0.7321,7
Dnmt3b,13436,DNA methyltransferase 3B,0.3286,0.3309,0.8846,0.7306,7
Crtac1,72832,cartilage acidic protein 1,0.8042,0.5935,0.0319,0.7254,7
Hhip,15245,Hedgehog-interacting protein,0.3922,0.3767,0.8392,0.7222,7
Pvrl4,71740,poliovirus receptor-related 4,0.6107,0.7381,0.2869,0.7204,7
