GENE,GENEID,GENEFULLNAME,GA,MGOX,MGOY,MGOZ,CLUSTER
Sema3b,20347,sema_domain__immunoglobulin_domain_(Ig)__short_basic_domain__secreted__(semaphorin)_3B,0.1575,0.3098,0.4073,0.8592,2
Mef2c,17260,myocyte_enhancer_factor_2C,0.1565,0.4219,0.3698,0.8278,2
Glra1,14654,glycine_receptor__alpha_1_subunit,0.1565,0.0977,0.2622,0.9601,2
Gda,14544,guanine_deaminase,0.1535,0.2183,0.5366,0.8151,2
Smad7,17131,MAD_homolog_7_(Drosophila),0.1524,0.3371,0.3443,0.8763,2
Ubtf,21429,upstream_binding_transcription_factor__RNA_polymerase_I,0.1516,0.2545,0.4994,0.8281,2
Clstn1,65945,calsyntenin_1,0.1502,0.1785,0.3455,0.9213,2
Fgf18,14172,fibroblast_growth_factor_18,0.1498,0.1777,-0.2920,-0.9398,2
Csnk2a2,13000,casein_kinase_2__alpha_prime_polypeptide,0.1464,0.4940,0.8351,0.2421,2
Creb3,12913,cAMP_responsive_element_binding_protein_3,0.1441,0.2019,0.2880,0.9361,2
Porcn,53627,porcupine_homolog_(Drosophila),0.1435,0.6139,0.1346,0.7778,2
Fgf23,64654,fibroblast_growth_factor_23,0.1423,0.1723,0.4564,0.8729,2
Gja1,14609,gap_junction_protein__alpha_1,0.1405,0.0518,0.1037,0.9933,2
Jazf1,231986,JAZF_zinc_finger_1,0.1390,0.4025,0.5760,0.7115,2
Nrg2,100042150,neuregulin_2,0.1385,0.2164,0.3104,0.9257,2
Ncoa3,17979,nuclear_receptor_coactivator_3,0.1385,0.7468,0.4370,-0.5013,2
Sgcd,24052,sarcoglycan__delta_(dystrophin-associated_glycoprotein),0.1362,0.4521,0.5059,0.7346,2
Scarb1,20778,scavenger_receptor_class_B__member_1,0.1351,0.3780,0.1074,-0.9195,2
Mtor,56717,mechanistic_target_of_rapamycin_(serine/threonine_kinase),0.1349,0.2093,-0.1328,-0.9688,2
Pomgnt1,68273,protein_O-linked_mannose_beta1_2-N-acetylglucosaminyltransferase,0.1331,0.2071,0.2909,0.9341,2
Glul,14645,glutamate-ammonia_ligase_(glutamine_synthetase),0.1315,0.6635,0.6840,0.3033,2
Slc6a5,104245,solute_carrier_family_6_(neurotransmitter_transporter__glycine)__member_5,0.1308,0.1277,0.2626,0.9564,2
Peg12,27412,paternally_expressed_12,0.1300,0.5903,0.3786,0.7129,2
Kitl,17311,kit_ligand,0.1262,0.6128,0.6981,-0.3703,2
Ucn,22226,urocortin,0.1258,0.7233,0.0153,0.6904,2
Itpr1,16438,inositol_1_4_5-trisphosphate_receptor_1,0.1256,0.2731,0.3695,0.8882,2
Egr2,13654,early_growth_response_2,0.1229,0.7799,0.0862,0.6200,2
Chrnb2,11444,cholinergic_receptor__nicotinic__beta_polypeptide_2_(neuronal),0.1215,0.8929,0.1009,-0.4389,2
Glra4,14657,glycine_receptor__alpha_4_subunit,0.1211,0.5202,0.1729,0.8364,2
Vip,22353,vasoactive_intestinal_polypeptide,0.1209,0.3240,0.5562,0.7653,2
Rheb,19744,Ras_homolog_enriched_in_brain,0.1207,0.1899,0.7185,0.6691,2
Pak1,18479,p21_protein_(Cdc42/Rac)-activated_kinase_1,0.1204,0.3191,-0.1832,-0.9298,2
Hoxc12,15421,homeobox_C12,0.1197,0.2248,0.2323,0.9463,2
Rspo1,192199,R-spondin_homolog_(Xenopus_laevis),0.1189,0.1286,0.2267,0.9654,2
Polr2m,28015,polymerase_(RNA)_II_(DNA_directed)_polypeptide_M,0.1188,0.3405,0.3445,0.8749,2
Cntn2,21367,contactin_2,0.1185,0.2995,0.3394,0.8917,2
Col24a1,71355,collagen__type_XXIV__alpha_1,0.1183,0.2353,0.3004,0.9243,2
Nkx3-2,12020,NK3_homeobox_2,0.1161,0.2865,0.6729,0.6820,2
Gas1,14451,growth_arrest_specific_1,0.1154,0.0232,-0.0694,0.9973,2
Nrg3,18183,neuregulin_3,0.1148,0.2064,0.0642,-0.9764,2
Tle6,114606,transducin-like_enhancer_of_split_6__homolog_of_Drosophila_E(spl),0.1142,0.7821,-0.0078,-0.6231,2
Hspb8,80888,heat_shock_protein_8,0.1117,0.1718,0.3249,0.9300,2
Mylk,107589,myosin__light_polypeptide_kinase,0.1103,0.7581,0.1577,-0.6328,2
Gpx3,14778,glutathione_peroxidase_3,0.1087,0.1164,0.1017,0.9880,2
Mycbp2,105689,MYC_binding_protein_2,0.1026,0.2130,0.4974,0.8409,2
Sema7a,20361,sema_domain__immunoglobulin_domain_(Ig)__and_GPI_membrane_anchor__(semaphorin)_7A,0.1025,0.3981,0.0798,-0.9139,2
Cdk5,12568,cyclin-dependent_kinase_5,0.1022,0.6238,0.4281,-0.6539,2
Ncoa2,17978,nuclear_receptor_coactivator_2,0.1013,0.7107,0.3356,-0.6182,2
Hoxd1,15429,homeobox_D1,0.0998,0.0917,0.4422,0.8922,2
Gabrg1,14405,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_gamma_1,0.0995,0.3838,0.4817,0.7878,2
Pygo2,68911,pygopus_2,0.0990,0.4774,-0.3656,-0.7990,2
Cacna1a,12286,calcium_channel__voltage-dependent__P/Q_type__alpha_1A_subunit,0.0984,0.3450,0.1906,-0.9190,2
Sema3e,20349,sema_domain__immunoglobulin_domain_(Ig)__short_basic_domain__secreted__(semaphorin)_3E,0.0945,0.2438,-0.1237,-0.9619,2
Cacng7,81904,calcium_channel__voltage-dependent__gamma_subunit_7,0.0885,0.1781,0.0994,0.9790,2
Ace,11421,angiotensin_I_converting_enzyme_(peptidyl-dipeptidase_A)_1,0.0859,0.5429,-0.0862,0.8353,2
Dmrt3,240590,doublesex_and_mab-3_related_transcription_factor_3,0.0844,0.1657,0.2495,0.9541,2
6330581N18Rik,319453,RIKEN_cDNA_6330581N18_gene,0.0808,0.2659,0.4945,0.8275,2
Cebpe,110794,CCAAT/enhancer_binding_protein_(C/EBP)__epsilon,0.0802,0.1419,-0.6662,0.7322,2
S100b,20203,S100_protein__beta_polypeptide__neural,0.0766,0.2330,0.4042,0.8845,2
Hdac6,15185,histone_deacetylase_6,0.0741,0.4445,0.0671,-0.8932,2
Inha,16322,inhibin_alpha,0.0729,0.2059,-0.2587,-0.9438,2
Psen1,19164,presenilin_1,0.0721,0.2155,0.2628,0.9405,2
Aqp4,11829,aquaporin_4,0.0707,0.3743,0.1204,0.9195,2
Sema4f,20355,sema_domain__immunoglobulin_domain_(Ig)__TM_domain__and_short_cytoplasmic_domain,0.0687,0.2340,-0.1952,-0.9524,2
Kcna1,16485,potassium_voltage-gated_channel__shaker-related_subfamily__member_1,0.0673,0.2901,0.1673,0.9423,2
Crh,12918,corticotropin_releasing_hormone,0.0617,0.3052,0.2992,0.9041,2
Mpped1,223726,metallophosphoesterase_domain_containing_1,0.0601,0.2547,-0.2131,-0.9432,2
Adcy2,210044,adenylate_cyclase_2,0.0562,0.2211,0.3338,0.9163,2
Rasgrf1,19417,RAS_protein-specific_guanine_nucleotide-releasing_factor_1,0.0558,0.1364,0.5883,0.7971,2
Clu,12759,clusterin,0.0555,0.1313,0.2354,0.9630,2
Aatk,11302,apoptosis-associated_tyrosine_kinase,0.0505,0.2064,0.0694,0.9760,2
C230009H10Rik,320399,RIKEN_cDNA_C230009H10_gene,0.0497,0.2758,-0.2659,-0.9237,2
Drd5,13492,dopamine_receptor_D5,0.0455,0.5439,-0.0203,0.8389,2
Ddr1,12305,discoidin_domain_receptor_family__member_1,0.0429,0.5055,-0.3030,-0.8079,2
Kcnc3,16504,potassium_voltage_gated_channel__Shaw-related_subfamily__member_3,0.0423,0.3544,0.1632,0.9207,2
Calb2,12308,calbindin_2,0.0365,0.2270,0.0997,0.9688,2
Psenen,66340,presenilin_enhancer_2_homolog_(C._elegans),0.0357,0.6056,-0.1843,-0.7741,2
Gpr165,76206,G_protein-coupled_receptor_165,0.0350,0.3922,-0.0965,-0.9148,2
Lgi2,246316,leucine-rich_repeat_LGI_family__member_2,0.0299,0.4194,-0.1813,-0.8895,2
Gria3,53623,glutamate_receptor__ionotropic__AMPA3_(alpha_3),0.0298,0.3184,0.0905,0.9436,2
Abtb1,80283,ankyrin_repeat_and_BTB_(POZ)_domain_containing_1,0.0287,0.3383,-0.1104,-0.9346,2
Barx2,12023,BarH-like_homeobox_2,0.0277,0.5174,-0.1359,-0.8449,2
Baiap3,545192,BAI1-associated_protein_3,0.0206,0.3350,-0.0891,-0.9380,2
Actb,11461,actin__beta,0.0163,0.4086,-0.0667,-0.9103,2
Lgi3,213469,leucine-rich_repeat_LGI_family__member_3,0.0110,0.4334,0.1440,-0.8896,2
Hoxa7,15404,homeobox_A7,0.0102,0.1388,-0.4755,0.8687,2
Tshz1,110796,teashirt_zinc_finger_family_member_1,0.0000,0.0949,0.2507,0.9634,2
 ,, ,,,,,
D630021H01Rik,319914,RIKEN_cDNA_D630021H01_gene,0.8555,0.1023,0.5899,0.8010,3
Npas2,18143,neuronal_PAS_domain_protein_2,0.8510,0.0719,0.3821,0.9213,3
Cyp7b1,13123,cytochrome_P450__family_7__subfamily_b__polypeptide_1,0.7999,0.0998,0.3702,0.9236,3
Tcf3,21423,transcription_factor_3,0.7935,0.0749,0.3055,0.9492,3
Zkscan1,74570,zinc_finger_with_KRAB_and_SCAN_domains_1,0.7878,0.0659,0.2297,0.9710,3
Smad4,17128,MAD_homolog_4_(Drosophila),0.7838,0.0851,0.3968,0.9139,3
Gabpb1,14391,GA_repeat_binding_protein__beta_1,0.7220,0.0973,0.4195,0.9025,3
Usf1,22278,upstream_transcription_factor_1,0.6925,0.1176,0.4078,0.9055,3
Epha4,13838,Eph_receptor_A4,0.6830,0.0259,0.0790,0.9965,3
Lhx9,16876,LIM_homeobox_protein_9,0.6730,0.1171,0.4992,0.8586,3
Ifit3,15959,interferon-induced_protein_with_tetratricopeptide_repeats_3,0.6688,0.0021,-0.0159,0.9999,3
St7,64213,suppression_of_tumorigenicity_7,0.6535,0.1756,0.7632,0.6219,3
Vax2,24113,ventral_anterior_homeobox_containing_gene_2,0.6425,0.1418,0.4843,0.8633,3
Sema6b,20359,sema_domain__transmembrane_domain_(TM)__and_cytoplasmic_domain__(semaphorin)_6B,0.6398,0.1189,0.4363,0.8919,3
Ncor1,20185,nuclear_receptor_co-repressor_1,0.6384,0.2581,0.9235,0.2839,3
Pik3r1,18708,phosphatidylinositol_3-kinase__regulatory_subunit__polypeptide_1_(p85_alpha),0.6286,0.1690,0.7046,0.6892,3
Ddit4l,73284,DNA-damage-inducible_transcript_4-like,0.6144,0.1327,0.3722,0.9186,3
Foxn1,15218,forkhead_box_N1,0.6137,0.1671,0.6876,0.7066,3
Neurod2,18013,neurogenic_differentiation_2,0.6079,0.0860,0.4163,0.9051,3
Trp53i11,277414,transformation_related_protein_53_inducible_protein_11,0.6053,0.1044,0.4734,0.8746,3
Itga4,16401,integrin_alpha_4,0.5923,0.1247,0.1706,0.9774,3
Runx2,12393,runt_related_transcription_factor_2,0.5904,0.1742,0.4329,0.8844,3
Cdh9,12565,cadherin_9,0.5844,0.1442,0.4899,0.8598,3
Sox2,20674,SRY-box_containing_gene_2,0.5761,0.1108,0.4392,0.8915,3
Kcnd2,16508,potassium_voltage-gated_channel__Shal-related_family__member_2,0.5711,0.1295,0.4844,0.8652,3
Hmgxb4,70823,HMG_box_domain_containing_4,0.5700,0.2121,0.6453,0.7339,3
Elf2,69257,E74-like_factor_2,0.5607,0.1179,0.2929,0.9488,3
Notch4,18132,notch_4,0.5503,0.1374,0.3607,0.9225,3
Hoxa11,15396,homeobox_A11,0.5487,0.2723,0.7977,0.5381,3
Srebf2,20788,sterol_regulatory_element_binding_factor_2,0.5373,0.2142,0.6792,0.7020,3
Csf1r,12978,colony_stimulating_factor_1_receptor,0.5345,0.2447,0.6353,0.7325,3
Max,17187,Max_protein,0.5325,0.0665,0.1677,0.9836,3
Akr1c18,105349,aldo-keto_reductase_family_1__member_C18,0.5299,0.1396,0.2927,0.9460,3
Mga,29808,MAX_gene_associated,0.5147,0.3153,0.8875,0.3360,3
Gpr98,110789,G_protein-coupled_receptor_98,0.5127,0.1564,0.3960,0.9048,3
Rhox6,19202,reproductive_homeobox_6,0.4809,0.1491,0.3649,0.9190,3
Sp3,20687,trans-acting_transcription_factor_3,0.4763,0.1444,0.4423,0.8852,3
Crebbp,12914,CREB_binding_protein,0.4711,0.3240,0.7536,0.5719,3
Hlx,15284,H2.0-like_homeobox,0.4652,0.1411,0.3995,0.9058,3
Tfdp2,211586,transcription_factor_Dp_2,0.4615,0.3410,0.8705,0.3550,3
Mtf2,17765,metal_response_element_binding_transcription_factor_2,0.4605,0.2464,0.6255,0.7403,3
Srf,20807,serum_response_factor,0.4560,0.3413,0.8978,0.2784,3
Zhx3,320799,zinc_fingers_and_homeoboxes_3,0.4535,0.1271,0.3545,0.9264,3
Sox13,20668,SRY-box_containing_gene_13,0.4522,0.2925,0.7664,0.5719,3
Gatad1,67210,GATA_zinc_finger_domain_containing_1,0.4422,0.1664,0.3803,0.9098,3
Trpc6,22068,transient_receptor_potential_cation_channel__subfamily_C__member_6,0.4417,0.1535,0.3480,0.9248,3
Dner,227325,delta/notch-like_EGF-related_receptor,0.4357,0.0832,0.1736,0.9813,3
Nrxn1,18189,neurexin_I,0.4246,0.1463,0.3146,0.9379,3
Fat3,270120,FAT_tumor_suppressor_homolog_3_(Drosophila),0.4245,0.1584,0.2845,0.9455,3
Id3,15903,inhibitor_of_DNA_binding_3,0.4243,0.3441,0.7805,0.5220,3
Elf1,13709,E74-like_factor_1,0.4142,0.1774,0.3957,0.9011,3
Myog,17928,myogenin,0.4134,0.1766,0.2402,0.9545,3
Elk1,13712,ELK1__member_of_ETS_oncogene_family,0.4097,0.1711,0.4077,0.8969,3
Bcl11a,14025,B_cell_CLL/lymphoma_11A_(zinc_finger_protein),0.4071,0.2265,0.4862,0.8440,3
Crhr2,12922,corticotropin_releasing_hormone_receptor_2,0.4010,0.1774,0.2679,0.9470,3
Npy2r,18167,neuropeptide_Y_receptor_Y2,0.3957,0.1414,0.3224,0.9360,3
Gdf1,14559,growth_differentiation_factor_1,0.3955,0.1334,0.3646,0.9215,3
Nr3c1,14815,nuclear_receptor_subfamily_3__group_C__member_1,0.3926,0.1745,0.4269,0.8873,3
Patz1,56218,POZ_(BTB)_and_AT_hook_containing_zinc_finger_1,0.3860,0.2580,0.4134,0.8733,3
Foxj2,60611,forkhead_box_J2,0.3857,0.1634,0.5064,0.8467,3
Atf1,11908,activating_transcription_factor_1,0.3827,0.1875,0.5150,0.8364,3
Tfdp1,21781,transcription_factor_Dp_1,0.3803,0.2932,0.4267,0.8555,3
Gcm2,107889,glial_cells_missing_homolog_2_(Drosophila),0.3791,0.3143,0.7505,0.5813,3
Scnn1a,20276,sodium_channel__nonvoltage-gated_1_alpha,0.3788,0.1336,0.2052,0.9696,3
Pcnt,18541,pericentrin_(kendrin),0.3738,0.2295,0.6410,0.7324,3
Rcn1,19672,reticulocalbin_1,0.3737,0.2343,0.4308,0.8715,3
Abt1,30946,activator_of_basal_transcription_1,0.3693,0.2913,0.7719,0.5650,3
Hoxd10,15430,homeobox_D10,0.3665,0.2608,0.6492,0.7145,3
Zbtb16,235320,zinc_finger_and_BTB_domain_containing_16,0.3603,0.3167,0.7099,0.6291,3
Tcf4,21413,transcription_factor_4,0.3598,0.0927,0.4196,0.9030,3
Slc17a8,216227,solute_carrier_family_17_(sodium-dependent_inorganic_phosphate_cotransporter)__member_8,0.3578,0.1634,0.3588,0.9190,3
Lmo1,109594,LIM_domain_only_1,0.3562,0.1592,0.3552,0.9211,3
Pax7,18509,paired_box_gene_7,0.3522,0.2663,0.7595,0.5936,3
Six6,20476,sine_oculis-related_homeobox_6_homolog_(Drosophila),0.3484,0.2084,0.3956,0.8944,3
Foxk2,68837,forkhead_box_K2,0.3479,0.1477,0.2738,0.9504,3
Celsr3,107934,cadherin__EGF_LAG_seven-pass_G-type_receptor_3_(flamingo_homolog__Drosophila),0.3470,0.1667,0.5288,0.8322,3
Etv1,14009,ets_variant_gene_1,0.3426,0.1464,0.3067,0.9405,3
Arnt2,11864,aryl_hydrocarbon_receptor_nuclear_translocator_2,0.3418,0.2233,0.5498,0.8049,3
Ppfibp1,67533,PTPRF_interacting_protein__binding_protein_1_(liprin_beta_1),0.3325,0.2255,0.3032,0.9259,3
Apc,11789,adenomatosis_polyposis_coli,0.3324,0.1729,0.2540,0.9516,3
Tead3,21678,TEA_domain_family_member_3,0.3323,0.1523,0.1513,0.9767,3
Ngf,18049,nerve_growth_factor,0.3304,0.3306,0.8512,0.4077,3
Myt1l,17933,myelin_transcription_factor_1-like,0.3249,0.1271,0.2330,0.9641,3
Foxn4,116810,forkhead_box_N4,0.3244,0.2643,0.6821,0.6819,3
Pde11a,241489,phosphodiesterase_11A,0.3199,0.2799,0.7397,0.6120,3
Trpc4,22066,transient_receptor_potential_cation_channel__subfamily_C__member_4,0.3186,0.1136,0.3288,0.9375,3
Lrrn3,16981,leucine_rich_repeat_protein_3__neuronal,0.3174,0.1671,0.1874,0.9680,3
Pdlim1,54132,PDZ_and_LIM_domain_1_(elfin),0.3122,0.1628,0.1919,0.9678,3
Esrrb,26380,estrogen_related_receptor__beta,0.3118,0.2063,0.4353,0.8763,3
Ctnnb1,12387,catenin_(cadherin_associated_protein)__beta_1,0.3116,0.2211,0.2806,0.9340,3
Isl2,104360,insulin_related_protein_2_(islet_2),0.3106,0.2495,0.5054,0.8260,3
Rcor2,104383,REST_corepressor_2,0.3072,0.3440,0.7578,0.5544,3
Nfia,18027,nuclear_factor_I/A,0.3045,0.1631,0.3003,0.9398,3
Cox6a2,12862,cytochrome_c_oxidase__subunit_VI_a__polypeptide_2,0.3023,0.2864,0.3999,0.8707,3
Hmgb3,15354,high_mobility_group_box_3,0.2996,0.2082,0.3486,0.9138,3
Pknox2,208076,Pbx/knotted_1_homeobox_2,0.2978,0.1728,0.3557,0.9185,3
Atp10a,11982,ATPase__class_V__type_10A,0.2951,0.2178,0.3714,0.9025,3
Dtx1,14357,deltex_1_homolog_(Drosophila),0.2883,0.4323,0.6036,0.6700,3
Wnt4,22417,wingless-related_MMTV_integration_site_4,0.2827,0.1608,0.3175,0.9345,3
Wnt5a,22418,wingless-related_MMTV_integration_site_5A,0.2786,0.2165,0.3377,0.9160,3
Lbh,77889,limb-bud_and_heart,0.2696,0.3731,0.5270,0.7636,3
Foxd4,14237,forkhead_box_D4,0.2683,0.2451,0.4656,0.8504,3
Grin3a,242443,glutamate_receptor_ionotropic__NMDA3A,0.2683,0.1705,0.3804,0.9090,3
Hhex,15242,hematopoietically_expressed_homeobox,0.2682,0.2276,0.3828,0.8953,3
Zfp445,235682,zinc_finger_protein_445,0.2681,0.3838,0.7435,0.5476,3
Tle4,21888,transducin-like_enhancer_of_split_4__homolog_of_Drosophila_E(spl),0.2506,0.4904,0.8076,0.3275,3
Col6a1,12833,collagen__type_VI__alpha_1,0.2498,0.2049,0.4922,0.8460,3
Tle1,21885,transducin-like_enhancer_of_split_1__homolog_of_Drosophila_E(spl),0.2435,0.1941,0.4169,0.8880,3
Acvr1c,269275,activin_A_receptor__type_IC,0.2435,0.1723,0.3710,0.9125,3
Doc2b,13447,double_C2__beta,0.2403,0.2031,0.1696,0.9644,3
Cbln4,228942,cerebellin_4_precursor_protein,0.2401,0.8946,0.2766,0.3510,3
Jund,16478,Jun_proto-oncogene_related_gene_d,0.2398,0.4995,0.7485,0.4362,3
Lcor,212391,ligand_dependent_nuclear_receptor_corepressor,0.2385,0.2957,0.5795,0.7595,3
Pvrl1,58235,poliovirus_receptor-related_1,0.2346,0.2311,0.3007,0.9253,3
Tlx1,21908,T_cell_leukemia__homeobox_1,0.2265,0.2081,0.3609,0.9091,3
Tfap2a,21418,transcription_factor_AP-2__alpha,0.2263,0.1995,0.4741,0.8576,3
Ss18l1,269397,synovial_sarcoma_translocation_gene_on_chromosome_18-like_1,0.2258,0.2918,0.5950,0.7488,3
Irx5,54352,Iroquois_related_homeobox_5_(Drosophila),0.2223,0.3656,0.5923,0.7180,3
Gsg1l,269994,GSG1-like,0.2121,0.1282,0.1417,0.9816,3
Ucn3,83428,urocortin_3,0.2104,0.7036,0.6777,0.2136,3
Bmp1,12153,bone_morphogenetic_protein_1,0.2075,0.7679,0.3252,0.5518,3
Kcnmb4,58802,potassium_large_conductance_calcium-activated_channel__subfamily_M__beta_member_4,0.2071,0.1195,0.0468,0.9917,3
Cntn6,53870,contactin_6,0.2031,0.3842,0.5644,0.7306,3
Barhl2,104382,BarH-like_2_(Drosophila),0.2028,0.2122,0.1962,0.9573,3
Msx1,17701,homeobox__msh-like_1,0.1993,0.2726,0.3230,0.9063,3
Tfap4,83383,transcription_factor_AP4,0.1952,0.2732,0.3311,0.9032,3
Gm1441,384670,gene_model_1441__(NCBI),0.1945,0.7844,0.3820,0.4887,3
Trib2,217410,tribbles_homolog_2_(Drosophila),0.1944,0.4627,0.5161,0.7208,3
Npffr2,104443,neuropeptide_FF_receptor_2,0.1901,0.4214,0.5875,0.6908,3
Cdh8,12564,cadherin_8,0.1892,0.1567,0.2563,0.9538,3
Scube1,64706,signal_peptide__CUB_domain__EGF-like_1,0.1858,0.5365,0.5935,0.5999,3
Tiam1,21844,T_cell_lymphoma_invasion_and_metastasis_1,0.1858,0.8126,0.4085,0.4156,3
Kcnj6,16522,potassium_inwardly-rectifying_channel__subfamily_J__member_6,0.1829,0.3363,-0.4309,-0.8374,3
Ppargc1a,19017,peroxisome_proliferative_activated_receptor__gamma__coactivator_1_alpha,0.1814,0.2012,0.3441,0.9171,3
Camk4,12326,calcium/calmodulin-dependent_protein_kinase_IV,0.1795,0.8775,0.4286,0.2153,3
Nsd1,18193,nuclear_receptor-binding_SET-domain_protein_1,0.1781,0.3450,0.5979,0.7235,3
Erbb4,13869,v-erb-a_erythroblastic_leukemia_viral_oncogene_homolog_4_(avian),0.1775,0.1333,0.0199,0.9909,3
Arntl,11865,aryl_hydrocarbon_receptor_nuclear_translocator-like,0.1771,0.1794,0.4295,0.8851,3
Itgb8,320910,integrin_beta_8,0.1746,0.3434,0.4106,0.8447,3
Zdhhc2,70546,zinc_finger__DHHC_domain_containing_2,0.1743,0.7499,0.6542,-0.0984,3
Rock2,19878,Rho-associated_coiled-coil_containing_protein_kinase_2,0.1712,0.7115,0.4162,0.5661,3
Bmp3,110075,bone_morphogenetic_protein_3,0.1673,0.9650,0.1229,0.2317,3
Gabra5,110886,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_alpha_5,0.1659,0.4881,0.3511,0.7991,3
Grin2b,14812,glutamate_receptor__ionotropic__NMDA2B_(epsilon_2),0.1643,0.1422,0.1466,0.9789,3
Dusp14,56405,dual_specificity_phosphatase_14,0.1552,0.3765,0.5421,0.7513,3
Per2,18627,period_homolog_2_(Drosophila),0.1534,0.3253,0.2346,0.9160,3
Zfhx2,239102,zinc_finger_homeobox_2,0.1527,0.2341,0.2456,0.9407,3
Sowaha,237761,sosondowah_ankyrin_repeat_domain_family_member_A,0.1491,0.2353,0.1199,0.9645,3
Barhl1,54422,BarH-like_1_(Drosophila),0.1490,0.1962,0.3199,0.9269,3
Ncam1,17967,neural_cell_adhesion_molecule_1,0.1445,0.5885,0.2885,0.7552,3
Cic,71722,capicua_homolog_(Drosophila),0.1404,0.4292,0.3803,0.8193,3
Nr4a2,18227,nuclear_receptor_subfamily_4__group_A__member_2,0.1402,0.2364,0.3257,0.9154,3
Hap1,15114,huntingtin-associated_protein_1,0.1360,0.4855,0.5309,0.6946,3
Ptgs2,19225,prostaglandin-endoperoxide_synthase_2,0.1335,0.3504,0.4530,0.8198,3
Nkx2-2,18088,NK2_transcription_factor_related__locus_2_(Drosophila),0.1275,0.6580,0.3665,0.6578,3
Cpne2,234577,copine_II,0.1073,0.4851,0.4244,-0.7646,3
Ddc,13195,dopa_decarboxylase,0.1056,0.3232,0.2224,0.9198,3
Lmo4,16911,LIM_domain_only_4,0.1056,0.8863,0.0299,-0.4622,3
Gjd2,14617,gap_junction_protein__delta_2,0.1046,0.7086,-0.0508,-0.7038,3
Vat1,26949,vesicle_amine_transport_protein_1_homolog_(T_californica),0.1010,0.5097,0.3960,0.7639,3
Grm5,108071,glutamate_receptor__metabotropic_5,0.0926,0.2909,0.0817,0.9533,3
Dvl1,13542,dishevelled__dsh_homolog_1_(Drosophila),0.0906,0.2068,0.0427,0.9774,3
Tubb3,22152,tubulin__beta_3_class_III,0.0850,0.2979,0.2614,0.9181,3
Frzb,20378,frizzled-related_protein,0.0528,0.2739,0.0165,0.9616,3
Gfra2,14586,glial_cell_line_derived_neurotrophic_factor_family_receptor_alpha_2,0.0461,0.1782,0.2423,0.9537,3
Aph1c,68318,anterior_pharynx_defective_1c_homolog_(C._elegans),0.0349,0.2421,0.0586,0.9685,3
 ,, ,,,,,
Phtf1,18685,putative_homeodomain_transcription_factor_1,0.9472,0.0499,0.3800,0.9236,4
Gatad2a,234366,GATA_zinc_finger_domain_containing_2A,0.8797,0.0684,0.3718,0.9258,4
Nfe2l2,18024,nuclear_factor__erythroid_derived_2__like_2,0.8745,0.0897,0.4023,0.9111,4
Sim1,20464,single-minded_homolog_1_(Drosophila),0.8452,0.0833,0.5545,0.8280,4
Nrl,18185,neural_retina_leucine_zipper_gene,0.8015,0.1320,0.6174,0.7755,4
Otof,83762,otoferlin,0.7514,0.1123,0.4534,0.8842,4
Adra2b,11552,adrenergic_receptor__alpha_2b,0.7322,0.0911,0.3247,0.9414,4
Ncoa1,17977,nuclear_receptor_coactivator_1,0.7100,0.1282,0.6141,0.7787,4
Hnf1b,21410,HNF1_homeobox_B,0.7005,0.1457,0.6160,0.7742,4
Crlf1,12931,cytokine_receptor-like_factor_1,0.6887,0.1843,0.6443,0.7423,4
Evi5,14020,ecotropic_viral_integration_site_5,0.6838,0.1373,0.4501,0.8824,4
Col13a1,12817,collagen__type_XIII__alpha_1,0.6779,0.1106,0.3062,0.9455,4
Gsc2,195333,goosecoid_homebox_2,0.6656,0.0045,-0.0120,0.9999,4
Foxd2,17301,forkhead_box_D2,0.6620,0.0099,-0.0319,0.9994,4
Prop1,19127,paired_like_homeodomain_factor_1,0.6610,0.0957,0.3974,0.9126,4
Cdhr5,72040,cadherin-related_family_member_5,0.6464,0.1084,0.3084,0.9450,4
Myb,17863,myeloblastosis_oncogene,0.6393,0.1797,0.6329,0.7531,4
Drap1,66556,Dr1_associated_protein_1_(negative_cofactor_2_alpha),0.6392,0.0926,0.3676,0.9254,4
Nr2c1,22025,nuclear_receptor_subfamily_2__group_C__member_1,0.6376,0.1634,0.4072,0.8986,4
Tbx2,21385,T-box_2,0.6258,0.1108,0.3260,0.9388,4
Gata6,14465,GATA_binding_protein_6,0.6065,0.1345,0.4540,0.8808,4
Rhox9,104384,reproductive_homeobox_9,0.6019,0.1375,0.3106,0.9406,4
Ereg,13874,epiregulin,0.6004,0.1084,0.2378,0.9652,4
Mlxip,208104,MLX_interacting_protein,0.5944,0.1608,0.4562,0.8752,4
Foxi1,14233,forkhead_box_I1,0.5932,0.2122,0.7058,0.6759,4
Clca2,80797,chloride_channel_calcium_activated_2,0.5845,0.1239,0.3942,0.9106,4
Esx1,13984,extraembryonic__spermatogenesis__homeobox_1,0.5796,0.1822,0.5260,0.8308,4
Aph1b,208117,anterior_pharynx_defective_1b_homolog_(C._elegans),0.5782,0.1821,0.6667,0.7227,4
Pou6f2,218030,POU_domain__class_6__transcription_factor_2,0.5677,0.1070,0.3022,0.9472,4
Stat4,20849,signal_transducer_and_activator_of_transcription_4,0.5672,0.1181,0.3538,0.9279,4
